instancia,cidades,custo_otimo,custo_nn,gap_nn_pct,tempo_nn_s,tecnica,melhor,media,desvio_padrao,pior,gap_medio_pct,tempo_medio_s,iteracoes_medias,num_sementes
Leve,76,108159,153462,41.89,0.0002,GA,110773,112849.0,1842.0,114288,4.34,30.00,10280,3
Leve,76,108159,153462,41.89,0.0002,ACO,114506,115806.7,1193.0,116850,7.07,30.02,1065,3
Intermediária,225,3861,4722,22.30,0.0017,GA,5022,6146.0,1144.5,7310,59.18,30.00,3818,3
Intermediária,225,3861,4722,22.30,0.0017,ACO,4289,4312.7,21.5,4331,11.70,30.11,118,3
Pesada,442,50778,61979,22.06,0.0084,GA,260212,265145.7,6633.7,272687,422.17,30.02,1359,3
Pesada,442,50778,61979,22.06,0.0084,ACO,66250,66868.3,999.1,68021,31.69,30.43,30,3
